"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
23.35,76,29,95,92,100,81,77,75,56,100,35,85,13,31,16.46,"3"
38,65,36,98,100,100,99,69,62,55,96,26,55,11.37,28.33,15,"3"
82,100,8,92,45,60,100,29,52,16.28,15.48,24,21,61,53,98,"8"
10.69,82,34,100,78,90,49,62,80,49,100,18,62,7.53,18,13,"3"
53,64,73,100,70,83,67,42,36,11,18.51,5.57,49,4,100,9,"1"
20.06,39,30,69,48,100,39,69,41,35,33,5,31,2,100,5.51,"1"
12,91,48,100,66,77,77,63,100,42,75,15,34,8.66,20.62,15,"3"
100,89,34,100,24.23,75,76,78,83,62,90,35,85,8,5,12.68,"9"
26,98,24,49,45,13,17,7.95,12.52,35,26,72,62,91,100,100,"5"
61,100,24,88,21,49,26,9,23.24,15.23,7,37,51,60,100,78,"8"
25,76,7.55,39,15,6.11,68,1,98,36,100,76,58,100,7,90,"0"
22.6,63,37,44,42,6,1,4.99,25,36,65,67,100,100,46,80,"8"
62,100,25,91,8.86,49,7,2,55,8.5,92,30,100,78,63,100,"0"
78,99,21,85,5.92,50,5,14,59,13.83,100,27,100,65,79,100,"0"
76,93,24,100,18.72,72,58,73,74,74,100,42,92,12,37,15.46,"9"
100,100,79,86,62,71,50,57,33,43,21,28,8,14,23.38,16.26,"1"
100,98,71,100,42,88,35,55,59,41,61,16,31,3,47.75,6.82,"5"
27,50,56,89,64,100,55,52,35,9,18.82,2,52,2,100,4.81,"1"
11.19,67,25,100,49,73,36,33,6,4.75,1,6,53,3,100,11,"2"
56,97,15,77,15.55,35,23,3.41,70,3,100,36,95,78,54,100,"0"
100,83,25,100,16,67,58,28,12,13.48,26.09,33,65,65,89,91,"8"
23,97,8.95,48,17,6.51,58,3,93,35,100,89,59,100,23,73,"0"
95,76,34,80,28.92,97,57,100,98,80,100,53,83,25,59,24.2,"9"
13.93,93,41,100,57,65,47,26,21,11.64,2,35,51,38,100,36,"7"
17,81,59,100,76,75,53,48,100,44,89,13,40,10.41,22.07,20,"3"
77,64,100,96,45,100,35,63,34,25,35.92,24.77,38.47,36,48,62,"8"
9,88,22,100,26,65,16,31,7.45,5,33,1,66,3.76,100,3,"2"
99,88,74,100,56,75,100,85,99,57,89,17,46,2.04,31.04,4,"9"
26,94,4.64,61,6,16,47,7.7,91,17,100,60,71,95,27,100,"0"
76,67,75,100,28.07,77,49,40,83,10.73,5,12,36,52,100,87,"8"
34,100,14,83,2,66,7.495,48,23,34,65,30,91,17,100,29.35,"4"
18.93,98,75,100,84,65,54,31,26,24.54,100,21,96,39,6,41,"7"
100,100,55,82,23,54,5.93,23,33,16.23,87,15,66,44,11,40,"6"
8,100,67,99,72,65,55,31,32,12.43,13.53,26,36,47,100,52,"7"
49,100,7,83,12.58,54,100,60,72,82,51,86,59,36,68,40.37,"4"
15,70,48,100,63,89,57,56,67,24,15,1,30.93,2.2,100,3.5,"1"
14.98,95,39,100,67,73,53,30,40,13.97,21,40,53,45,100,40,"7"
80,100,28,81,44,70,89,82,89,54,100,25,69,4,29.54,5.64,"9"
62,81,100,100,84,91,40,76,67,64,83,26,46,5.78,39.17,9,"5"
45,69,74,100,68,94,57,50,39,9,20.78,3,50,3,100,5.63,"1"
15.12,89,61,100,100,85,47,65,44,47,98,29,71,4,6,5.54,"3"
100,100,70,86,53,72,37,58,20,43,10,29,7.13,14,13,16.18,"1"
100,100,82,91,64,75,50,59,27,43,14,27,12.05,11,28.56,14.71,"1"
32,75,59,100,88,84,72,54,100,38,89,10,39,10.14,30.6,19,"3"
19.12,98,39,100,71,80,72,39,69,22.73,48,29,60,50,100,55,"7"
15.01,100,52,94,74,60,71,23,55,12.11,9,21,43,31,100,31,"7"
8,96,55,100,62,67,42,30,25,12.89,11.61,36,41,49,100,50,"7"
23,89,59,100,75,68,58,33,36,14.1,12.12,18,48,27,100,32,"7"
42,98,22,72,75,51,62,9.09,14.77,6,23,57,43,100,100,99,"5"
21,85,57,100,63,71,30,55,85,47,100,15,48,5.88,14.09,11,"3"
100,91,49,100,28,66,55,30,26,11.27,15.8,30,50,61,95,90,"8"
7,59,29,100,31,91,32,46,31,1,7.79,3.49,54,1,100,5.46,"1"
100,65,92,100,39,93,9,62,21.05,27,31,20.34,60,26,19,28,"6"
86,100,46,83,17,56,11.99,28,17,1,92,5.83,100,21,22,16,"6"
100,100,58,96,20,95,12.26,62,28,58,66,45,55,11,17,16.262,"5"
54,87,85,100,76,71,65,47,100,21,77,4.71,33,5,42.83,22,"3"
52,100,12,74,8.65,41,12,9,66,13.14,100,27,98,60,79,93,"0"
19,76,53,100,92,81,73,40,33,13,12.94,7.16,49,5,100,6,"2"
14,93,9.47,54,52,31,24,8.85,2,29,4,78,44,96,100,100,"5"
61,100,10.1,72,1,42,79,43,100,67,67,90,56,45,57,38.67,"4"
10,98,4.95,54,7,11,51,7.75,90,30,100,72,66,100,18,88,"0"
14.67,93,41,100,62,75,44,39,26,3,5,9.11,29,19,100,28,"7"
97,100,45,84,16.67,62,2,46,48,41,100,45,58,23,21,30.53,"4"
52,87,79,100,79,75,72,49,100,29,76,8,36,2.88,37.16,7,"3"
100,96,2,100,23.86,65,61,32,37,13.33,19,32,68,68,64,96,"8"
18,73,62,100,53,85,53,53,52,20,20.48,5.49,8,6,100,6,"1"
29,100,4,77,11.38,54,64,53,100,69,71,47,46,24,32,32.56,"4"
16.91,84,3,73,30,98,100,100,90,79,73,48,61,16,59,26.1,"7"
45,100,12,79,9.46,52,62,40,100,56,88,55,78,27,68,34.63,"4"
14,72,5,25,39,15.24,81,20,100,63,75,100,30,98,11.35,65,"0"
28,96,98,97,87,95,13,100,34,64,100,45,63,14.57,28.35,18,"5"
24.7,83,28,96,63,100,72,78,58,54,50,29,65,8,100,13.3,"2"
24,96,7.12,61,7,16,43,5.91,82,11,100,48,78,86,39,100,"0"
25.03,94,33,100,52,83,64,65,77,47,100,30,89,13,52,18.3,"3"
39,60,64,100,96,84,69,41,25,12,16.5,15,50,8.505,100,4,"2"
98,89,53,100,12,72,9.3,27,37,15.81,86,21,100,63,92,90,"0"
83,95,6,100,20,65,100,38,83,15.51,18.09,12,12,55,36,95,"8"
3,74,33,100,52,71,33,34,3,2,6.95,4,51,3.75,100,1,"2"
24.48,79,27,93,60,100,77,80,72,54,64,28,66,4,100,5.89,"2"
9,49,42,63,82,85,100,100,76,74,51,48,29,22,17.75,24.7,"1"
12,100,10,90,9.61,56,58,43,100,65,97,70,91,35,90,36.225,"4"
36,100,3,88,12.91,64,54,55,100,67,73,45,46,23,29,30.3,"4"
20,57,9.82,20,40,18.92,83,23,100,62,87,100,40,88,11,53,"0"
20.08,87,18,95,89,100,100,79,64,41,38,18.45,1,10,52,24,"7"
16.34,61,29,88,51,100,43,66,43,32,23,3.04,11,2,100,3,"1"
37,67,84,100,51,80,24,41,32,11.14,100,4,69,28,26.22,13,"6"
24,72,50,100,61,64,33,33,14.73,12,29,19,64,5.55,100,10,"2"
83,74,74,100,42,73,51,36,46,10.22,16.83,12,35,41,100,54,"8"
18,74,49,100,53,67,31,31,10.84,6.72,13,11,59,2,100,8,"2"
24,100,24,76,19.6,45,100,48,100,57,61,65,61,31,67,34.94,"4"
24,96,34,62,72,36,37,8.93,15,40,16.26,89,50,99,100,100,"5"
22.08,66,39,83,100,100,100,82,84,62,68,41,58,20,50,20.59,"1"
31,97,100,100,25,94,12,62,48,62,94,33,60,5.38,26.81,5,"5"
57,94,100,100,48,82,24,48,71,64,85,31,54,5.24,37.75,1,"5"
87,74,63,100,46,71,87,82,100,54,88,17,40,1,29.62,4.57,"9"
79,98,30,90,2,53,7.36,10,46,12.35,88,27,100,70,73,100,"0"
14.14,77,34,100,82,97,72,64,39,36,4,10,48,1,100,3.33,"2"
14,100,14,92,12.48,65,55,55,100,72,72,53,49,27,29,29.91,"4"
22.92,73,27,86,73,100,100,98,89,72,83,46,82,20,85,22.1,"1"
24.86,87,27,100,55,87,68,68,82,50,100,32,100,13,73,18.01,"3"
79,100,27,86,3.98,53,9,15,53,14.12,95,25,100,63,76,99,"0"
87,100,56,95,71,86,87,81,94,50,100,19,53,6,38.32,8.76,"9"
62,83,62,75,81,100,74,86,100,53,90,18,37,10.11,46.3,16,"9"
10,61,35,100,69,88,41,46,13.62,13,10,28,53,13.94,100,23,"2"
70,100,72,97,45,57,39,13,91,29.15,100,39,41,44,22.47,11,"6"
70,100,54,86,29,53,23,16,69,22.64,100,23,50,36,17.26,21,"6"
57,87,41,78,74,38,84,6.86,24.35,7,37,48,100,81,90,100,"8"
11,98,15.36,55,52,36,45,6.76,17,22,11,72,42,100,100,99,"5"
37,80,53,100,88,83,59,60,100,44,92,15,49,3.93,16.61,8,"3"
24.27,69,47,81,88,100,100,91,91,68,76,45,71,22,68,23.38,"1"
24,100,17,56,58,34,37,7.41,11.2,23,12,59,51,85,100,93,"5"
54,98,17,64,12.45,18,50,10.87,93,36,100,84,54,100,19,60,"0"
64,100,10,99,17,71,56,77,72,71,100,37,75,8,19,11.35,"9"
100,100,93,86,73,72,57,57,40,44,23,29,10,15,37.14,18.95,"1"
100,99,52,100,17,70,6.17333333333333,32,24,18.21,68,16,40,45,3,28,"6"
44,100,20,63,22,22,63,8.24,100,29,95,69,47,89,15.39,74,"0"
24.165,83,20,100,67,96,73,74,64,51,51,30,56,9,100,14.14,"2"
54,73,37,100,39.81,71,49,36,76,15.58,19,19,53,56,100,91,"8"
100,100,63,100,32,78,8,53,13.69,23,23,15.8766666666667,63,8,44,32,"6"
75,100,31,92,1,55,8.72,10,46,12.42,84,31,100,73,68,99,"0"
87,100,49,77,19,52,12.51,24,25,4.5,83,2,100,25,45,31,"6"
47,100,12,70,8.17,41,65,43,100,49,51,69,49,33,50,35.34,"4"
9,74,38,100,53,78,30,43,9.39,17,27,8,63,6,100,12.21,"2"
100,94,72,100,49,93,44,64,68,53,55,29,29,13,39.75,16.56,"5"
16.71,73,40,98,58,100,55,64,58,27,24,3,43,2.46,100,4,"1"
73,100,13,64,66,49,100,93,43,70,40.67,28,17,36.5,29,34,"8"
13,78,49,100,65,76,38,48,4,23,6.92,9,54,14,100,15.56,"2"
11,95,8,55,56,35,33,8.07,5.63,25,1,65,43,92,100,100,"5"
33,100,2,54,12.81,5,62,5.56,100,42,91,92,32,95,4,49,"0"
51,100,85,98,100,80,67,67,59,43,67,17,37,1,29.67,5.25,"3"
21,65,9,25,40,16.59,79,25,100,61,87,98,40,100,13.42,80,"0"
77,100,28,90,14.54,50,15,10,72,24.15,100,33,48,45,21,11,"6"
100,100,64,98,36,99,34,68,59,60,62,36,32,17,29.9,21.85,"5"
16.25,100,59,97,81,66,63,32,44,13.99,3,25,37,34,100,39,"7"
18,72,25,100,24,70,22,34,17,8.08,16.93,2,51,2,100,2,"1"
100,93,74,100,30,74,12.93,44,2,10,57,7.07,96,23,44,33,"6"
28,77,40,100,49,67,29,32,11.96,18,32,14,66,7.46,100,18,"2"
100,75,62,62,54,95,93,100,98,63,81,28,46,4.36,40.38,1,"9"
87,67,66,100,26.98,79,49,45,100,10,40,9.95,37,40,81,78,"8"
16.28,55,20,68,65,88,100,100,76,75,51,50,28,25,11,25.48,"1"
19,90,2,64,15,24,62,10.6,100,30,97,71,55,100,15.02,92,"0"
29.97,94,60,100,98,75,93,40,76,6,48,6.88,34,23,100,24,"7"
100,100,70,89,57,74,43,59,35,45,17,29,9,14,16.64,16.15,"1"
86,70,51,100,21.12,76,78,41,100,12.3,17.78,13,40,54,98,80,"8"
100,100,56,89,22,59,8.19,26,24,10.42,77,11,77,39,22,36,"6"
14.28,92,44,100,71,83,56,59,100,47,89,19,50,2.52,3,1,"3"
29,97,59,100,46,72,14,58,24.85,43,32,27,64,9,100,16.92,"2"
19,78,40,100,54,75,31,45,9.9,19,26,9,62,5.94,100,13,"2"
12,87,21.59,77,35,97,100,100,98,78,81,43,73,6,72,18.76,"7"
81,85,34,100,40,66,60,30,26,11.31,9.48,22,47,51,100,78,"8"
13,91,18,54,66,40,37,9.14,5,29,5.77,81,44,99,100,100,"5"
25,100,16,73,11.76,44,57,40,100,54,88,58,65,29,51,33.64,"4"
23,100,24.18,81,25,48,100,44,96,80,85,68,76,28,65,32.32,"4"
73,100,23,90,70,82,77,95,91,60,100,24,60,3.8,30.24,2,"9"
82,88,35,100,23.09,69,48,36,79,11.81,24,15,50,54,100,86,"8"
64,65,100,100,41,85,67,42,64,14.25,24,16,20,59,81,74,"8"
23.21,54,47,78,69,100,53,68,33,35,23.41,6,31,3.74,100,7,"1"
34,99,9,67,52,42,35,5.32,15.76,4,19,62,52,97,100,100,"5"
48,73,27,86,11.35,48,7,5,53,9.4,91,27,100,71,66,100,"0"
12.87,74,19,98,60,100,46,66,22,34,15,8.3,59,5.6,100,11,"2"
41,93,88,100,86,75,47,53,15.14,38,5,25,50,10,100,14.25,"2"
11.79,98,49,100,64,89,47,44,42,16.93,8,37,48,49,100,51,"7"
22.55,100,81,100,68,62,34,26,24,27,92,28,100,50,5,46,"7"
2,88,37,76,87,100,32.45,93,48,81,95,70,87,34,100,28.92,"9"
77,96,27,100,4.08,67,3,27,42,11.51,89,12,100,52,88,90,"0"
100,100,60,90,32,70,11,48,13,23,16,12.79,44,12,8,6,"6"
28,69,43,100,77,86,60,45,29,9,14.21,1,52,3.83,100,6,"2"
24.15,87,42,100,100,94,87,73,67,53,64,32,69,11,22,14.83,"3"
86,100,38,76,8,48,7.77,20,50,17.59,100,18,74,45,8,57,"6"
100,95,78,100,28,72,5.5,39,1,4,71,5.12,88,32,11,41,"6"
100,100,74,90,28,68,28.11,44,77,46,72,48,37,23,9,29.16,"4"
96,100,51,76,17,50,6.32,20,41,15.86,100,16,73,39,4,33,"6"
20.94,86,52,100,100,80,99,36,65,6.57,26,3,34,38,90,49,"7"
73,100,24,85,21.99,39,22,8.32,70,20,100,62,78,99,31,76,"0"
1,77,80,74,75,100,14.59,84,38,66,100,76,87,38,88,28.89,"9"
23,63,38.92,84,47,100,98,90,100,66,81,43,51,21,19,21.83,"9"
17,82,50,100,86,86,56,57,97,46,100,17,51,2.64,8.78,6,"3"
100,100,64,78,33,56,13,32,3,8,54,6.49,54,17,19.58,9,"6"
65,100,33,80,12,57,9.43,35,6,12,52,12.21,100,13,58,19,"6"
100,93,38,100,21,67,85,34,62,11.78,11.35,20,50,57,88,93,"8"
14,96,87,100,21,96,22,58,70,65,100,28,54,11.68,30.97,17,"5"
16,86,44,100,35,59,12,25,11.42,4,33,3,66,1,100,10.6,"2"
100,100,83,96,67,80,50,64,37,48,20,32,7,16,23.55,18.26,"1"
20.26,89,29,100,66,87,70,66,84,46,100,26,75,8,25,14.19,"3"
84,96,17.52,100,28,66,100,36,68,12.74,2,21,46,60,88,95,"8"
10,68,35,100,59,72,37,30,11.96,3,15,14,58,2,100,7.96,"2"
24,100,31,56,45,16,16,9.58,12.63,43,15,81,57,87,100,88,"5"
16,86,4.44,43,25,1,68,5.02,100,35,90,85,50,100,13,75,"0"
53,85,60,100,57,67,32,39,11.98,15,29,5,69,11.56,100,24,"2"
94,100,50,77,17,49,5,16,50,13.63,100,14,57,31,6.67,24,"6"
71,98,76,100,39,75,17.09,51,39,36,100,49,76,26,86,35.87,"4"
20.39,84,54,100,100,79,95,42,69,8,29,6.14,28,26,90,30,"7"
46,100,38,76,18.61,48,47,48,100,67,91,64,70,31,44,33.92,"4"
95,75,42,100,14,74,80,39,73,13.33,17.93,20,47,59,100,84,"8"
38,100,6,73,10.47,41,71,37,100,67,80,63,49,32,21,35.82,"4"
100,100,58,80,26,58,9.57,35,13.06,11,61,9.9,74,12,16,6,"6"
15.98,82,46,75,97,100,27,97,45,81,100,79,88,39,78,28.95,"9"
57,93,18,71,17.77,34,19,4.54,64,4,96,34,100,73,69,100,"0"
88,83,71,100,44,78,86,77,100,64,87,21,46,1,26.24,3.52,"9"
96,36,83,81,42,100,9,65,11.46,20,42,23.7,88,20,100,62,"0"
16.99,91,27,100,31,62,16,26,10,6.09,40,3,70,7,100,8,"2"
27,94,1,60,8.47,20,38,7.32,81,16,100,53,92,93,51,100,"0"
97,82,68,100,42,69,44,32,23,13.8,11.59,24,42,49,100,61,"8"
10,100,21.28,77,30,60,73,55,100,71,77,53,64,27,57,30.785,"4"
21.62,62,47,88,67,100,63,65,59,29,46,2,34,2.59,100,3.55,"1"
100,100,58,91,24,69,2,42,5.4,12,39,10.61,49,26,4,37,"6"
7,98,58,100,90,70,71,27,41,12.33,12.28,27,50,37,100,35,"7"
79,89,100,100,79,83,57,67,36,50,18,34,7,17,43.24,21.2,"1"
12,64,57,46,46,5.95,15.78,3,44,41,100,74,90,100,25,79,"8"
16.38,53,34,82,45,100,43,65,50,30,40,4.57,37,2,100,7,"1"
11,64,23,100,52,84,34,45,5,10,6.1,5.33,50,3,100,5,"2"
95,79,73,100,61,72,98,95,100,55,84,16,36,2.89,37.1,1,"9"
18.4,50,32,76,60,100,63,64,62,29,30,6,40,1,100,4.29,"1"
15.6,95,54,100,66,90,55,46,51,12.52,18,16,45,27,100,29,"7"
17.38,75,15,100,47,99,42,69,31,39,30,9,63,2.22,100,1,"2"
9,74,32,100,63,84,48,48,12,19,5.97,13,49,4,100,7.51,"2"
62,81,22,80,15.56,38,23,4.13,71,4,100,43,84,88,40,100,"0"
21,66,6.6,28,27,11.87,77,14,100,49,88,88,40,100,6,70,"0"
16.18,89,58,100,88,87,60,44,32,6.35,22,3,39,33,100,40,"7"
2,91,30.225,56,28,21,43,7.52,39,33,76,65,100,100,37,96,"8"
26,83,72,100,84,69,56,45,100,47,87,15,36,15.91,29.59,24,"3"
4,63,28,100,35,82,28,37,15.64,6,2,10,51,7,100,7.69,"1"
24,78,56,100,96,83,77,53,100,39,97,10,46,9.52,29.14,18,"3"
27.51,99,54,100,78,72,73,39,71,6,48,7.24,45,14,100,16,"7"
25,100,1,63,5.28,21,41,7.16,87,16,100,57,74,93,25,89,"0"
2,76,35,100,76,86,57,52,18,26,7.57,14,51,11,100,11.35,"2"
36,84,81,100,97,70,52,46,96,33,100,5,45,8.75,30.54,18,"3"
77,93,35,77,83,37,72,6.98,18.88,18,37,60,100,94,75,100,"8"
4,87,64,61,56,21,26.19,9.9,47,36,100,70,99,100,19,78,"8"
22,95,97,100,100,98,18,95,32,70,100,47,72,13.68,22.3,16,"5"
100,100,77,87,57,72,40,58,26,45,14,30,3,14,15.48,16.34,"1"
21,90,68,100,69,67,56,47,100,37,80,3,31,20.54,33.73,28,"3"
29,94,91,100,60,92,34,70,72,65,100,31,60,9.16,38.54,13,"5"
28,86,38,57,91,37,57,1,10.4,13.84,8,62,42,98,100,100,"5"
100,100,64,81,35,60,13,37,10.57,14,31,10.94,53,21,5,24,"6"
59,93,14,69,14.65,33,24,4.79,78,12,100,47,85,83,36,100,"0"
43,100,13.03,73,6,44,90,41,100,54,56,68,52,34,62,36.18,"4"
49,100,16,85,12.48,64,20,47,88,51,100,43,84,22,71,32.72,"4"
15.29,96,43,100,76,92,54,48,36,9.93,21,13,56,32,100,36,"7"
100,100,51,81,18,54,11.44,24,29,10.66,89,11,84,36,23,28,"6"
30,73,81,71,82,100,33,91,81,68,100,35,55,9,37.41,14.24,"9"
35,100,27,68,18.56,37,65,42,100,60,100,66,96,32,96,36.95,"4"
100,100,57,85,20,57,7.38,27,26,3.44,90,8,81,34,14,36,"6"
84,100,55,81,32,58,20,33,30,9,100,6,52,13,16.34,12.88,"6"
17,86,68,100,71,70,57,60,100,41,91,7,35,9.45,22.65,19,"3"
99,89,26,100,27,68,83,32,40,11.76,19.92,27,63,61,100,91,"8"
20.15,70,18,97,76,100,92,74,66,36,54,30.4,100,26,58,33,"7"
7,67,62,39,100,8,38,6.62,24,33,57,67,74,100,25.67,91,"8"
72,100,1,75,14.21,42,100,38,99,66,65,83,61,42,64,42.37,"4"
31,56,100,80,48,100,26.41,67,61,52,98,71,63,33,24,23.98,"9"
49,80,46,69,65,27,30,9.41,16.83,33,49,67,100,100,27,99,"8"
17.34,89,33,100,49,54,39,6,16,10.95,10,36,55,35,100,31,"7"
6,75,36,97,92,100,69,75,66,51,100,30,54,12,23.96,15.23,"3"
70,97,16,84,9.8,49,12,14,62,14.27,95,29,100,65,92,100,"0"
32,100,86,86,100,56,81,27,46,15.65,31.15,17,38,34,98,47,"7"
48,84,99,100,100,94,53,74,48,44,90,26,55,3.28,38.54,1,"5"
11,100,8,63,44,36,37,7.42,7.72,21,1,59,46,84,100,91,"5"
12.25,92,28,100,67,74,70,35,48,14.6,5,24,45,34,100,34,"7"
14.13,97,51,100,65,88,46,44,42,16.12,9,29,40,34,100,40,"7"
39,88,18.35,66,68,60,68,15,8,11.35,19,47,31,95,100,100,"5"
100,81,54,100,24.42,72,43,36,66,16.2,26,24,67,61,95,91,"8"
100,100,55,89,17,61,11.29,29,28,3.32,94,6,94,33,26,34,"6"
14,85,54,100,100,96,72,72,87,41,92,10,47,3.2,21.95,3,"3"
17,100,21,85,15.13,53,45,47,96,57,92,61,98,28,100,34.965,"4"
13.2,95,41,100,59,67,51,27,40,12.29,12,32,52,47,100,55,"7"
25,70,40,100,68,81,47,46,18,14,9.58,6.44,53,3,100,12,"2"
41,100,58,60,70,19,1,9.31,19.67,35,60,65,100,95,25,84,"8"
67,100,27,73,4,41,6,6,60,20.25,100,24,52,37,10.76,22,"6"
53,92,100,100,66,94,40,66,49,39,87,18,48,3.33,49.17,4,"5"
81,80,53,100,43,73,87,88,100,59,88,16,46,1.62,29.1,3.61,"9"
19.36,86,42,100,84,84,83,42,78,12.45,45,15,49,41,100,48,"7"
22.36,88,45,100,81,79,80,43,72,7,58,8.78,47,23,100,24,"7"
56,97,24,69,100,58,96,17,25,20.67,5,42,13.67,85,75,100,"5"
30,100,21,86,12.11,58,32,36,80,43,100,61,91,30,89,36.13,"4"
31,100,2,56,12,3,60,5.43,100,35,91,85,42,90,11.31,60,"0"
41,93,32,64,32,23,33.85,9.79,13.91,32,51,56,100,82,58,100,"8"
4,64,27,100,31,83,26,39,16.48,8,5,3,52,2,100,4.99,"1"
12.6,74,68,69,90,100,13,91,42,70,100,77,83,39,79,28.65,"9"
